"comments","classe"
"@veronica_michelle_bachelett e a propina recebida pela OAS teve pena quando recebeu? #hipocrita #oportunista #voltapromaroferenda",0
"O BRASIL ESTÁ COM BOLSONARO. VAI PARA A VENEZUELA. LIXO.",0
"Porque  ela  é  uma  ladra  morfética",0
"Barchelet vai catar coco . Esquece nosso povo.",0
"DONA BACHELET A SENHORA DEVIA TER PENA E VERGONHA NA CARA VIM ROUBAR DINHEIRO DO POVO BRASILEIRO  QUE FALTA DE VERGONHA SENHORA BACHELET",0
"Falsa!!!",0
"Essa aí é uma maior 171",0
"Que ela enfie a pena dela no $%$@&^ ... devolva nosso dinheiro isso sim. 🤔🤔",0
"Essa ja fez parte da quadrilha",0
"Hipócrita esta senhorinha bachelet",0
"Sem vergonha trate do seu País o nosso temos Bolsonaro@",0
"Porquê ela é uma velha escrota de MERDA.. só isso",0
"Que devolva a propina e pare de se meter onde  nao foi chamada brachelenta!",0
"Que devolva o dinheiro 💰",0
"Bachelet está com pena é dela não receber mais dindin dos nossos impostos. Hipócrita corrupta!...😎😎😎😎",0
"Hipocrisia Pura😡😡",0
"Pois é.... A pena dela é exatamente pq não vai mais receber propina",0
"Tranqueira!!!",0
"#maiatraidordapatria",0
"A fonte secou! Não tem mais propininha!😂😂😂😂",0
"Ladra",0
"Lixooo!!",0
"Que mulher babaca! Vai cuidar do seu Chile, estúpida!",0
"Pena do Brasil??? O qué será que pensa essa corrupta, tentando dar uma de pessoa íntegra, correta, quando não passa de uma vigarista! 😠🤔😠",0
"Será que vai querer devolver o dindin da propina,😂😂",0
"Esse lixo tem pena e da propina que andava ganhando ilicitamente",0
"Percebem que , todo bandido no final de sua gestão , é convidado para trabalhar na ONU ! Porque será ???!",0
"É outra HIPÓCRITA 😔😔😔",0
"É  a bandida  defendendo os colegas de bandidagem.",0
"Essa é pior que o pai.",0
"Pena da de vc devolva o que nunca foi teu",0
"Devia ter pena? Ela tem agora pq não tem parceria na corrupção...",0
"Que mulher nojenta",0
"Além de desonesta e metida a boa de sela",0
"Pena porque não tem milhões para sua conta mais não é  tranbiqueira.",0
"Num  é ?",0
"Quem quer saber a opinião dela?",0
"Dissimulada! Agora ela sabe que a mamata acabou! Governo Bolsonaro colocando todos no devido lugar!Sem.corrupção a bandidagem chora!",0
"pois é, né? O dinheiro da OAS fez com que ela esquecesse  de ter pena  do Brasil. Muito cínica.",0
"Tem cara de bandida",0
"💚💛pena do Brasil ou saudade da bagaçeira.",0
"Hipocrita",0
"E outra coisa, quem perguntou a opinião dela? O que nos interessa? VAZA OMELETE PODRE",0
"Deixe de hipocrisia, comedora de propina.Você deve tá sentindo falta é do dindo que não está caindo mais na sua conta.",0
"É uma idiota! Não precisamos da pena dela...",0
"Ela que legue a pena dela e faça um travesseiro pra ver se consegue dormir depois de ter aceitado dinheiro sujo.",0
"Uma mulher dessa idade já deveria ter aprendido a ter vergonha na cara.",0
"Hipocrisia",0
"Porque é suja e adora dinheiro alheio",0
"É apenas mais uma vagabundos.",0
"Coisa feia, vai cuidar da sua casa,",0
"Velha gagá FDP",0
"Propineira1",0
"Cara de pau",0
"Mas é falsa hein?Acabou a mamata.quer dinheiro vá trabalhar.",0
"Ela é muito espuma. Fica em cima do muro e vai para onde o vento sopra ( biruta)",0
"Porque é LADRA!!",0
"Canalha!!",0
"Hipócrita,vai procurar tua turma. O BRASIL não precisa da tua pena.",0
"Receber propina não te envergonha Bachelet? #BolsonaroPresidente2022🇧🇷",0
"😡Ridícula",0
"Cara pálida devolve o dinheiro a propina para o Brasil então",0
"Nojenta! Lava a boca pra falar do nosso Presidente!",0
"Hipócrita",0
"Ah tá com pena? Devolve o dinheiro do 🇧🇷",0
"Cara de pau 😠",0
"💩💩💩💩 É isso que essa louca fala!🖕🖕",0
"Dispensamos sua pena sra Michele Bachelet.Temos misericórdia dos pobres de espírito que manipulam os pobres.",0
"E quando recebeu dinheiro ilegal de propina e portanto de nossos impostos suados? Hipócrita.",0
"Coitadinha, ninguém liga pra ela",0
"Quando ouvimos uma sujeita dessas 💩 falando assim é sinal que estamos no caminho certo. Ela gostava do Brasil quando recebia mesada, dinheiro fruto de roubo.",0
"Tenha pena de você mesma imbecil!!🤬",0
"Ninguém está preocupado com a pena dela. É melhor ela cuidadar do pais dela .",0
"C Í N I C A",0
"Otária, BABACA.",0
"Cínica , não tem o que dizer e fica falando abobrinha",0
"É típico dessa gente a cara de pau!!!🤢",0
"Ela teria que ter pena qndo tirou dos hospitais do Brasil,pra continuar defendendo bandidos!!!",0
"Isso é caso de polícia, de FBI ,de CIA para esta vigarista ladra igual a DILMA e a  CRISTINA KIRCHNER da ARGENTINA.CRIME ORGANIZADO.",0
"Bachelet, não tem o que fazer?Sugestão: vau catar coquinho!!!",0
"Hipócritas",0
"Vai cuidar do seu quintal, que o nosso a gente cuida,,corrupta😤",0
"Cretina Hipócrita!",0
"Porque ela também é BANDIDA",0
"Pq é criminosa do foro de São Paulo !",0
"Cara horrorosa dessa senhora",0
"Credo",0
"Que bom que ela tem pena do Brasil 🇧🇷 assim ela já pode dividir com a população brasileira  a propina que recebeu da OAS.",0
"Enquanto não se revela os podres desses ladrões da nossa pátria todos tem alguma  coisa para falar, quero ver agora.",0
"Penalizada tem que  estar do povo Venezuelano e envergonhada por receber propina😱",0
"LIXO.  Lixo iDIOTA.",0
"Hipócrita",0
"🇧🇷 Vergonha mundial, não tem moral pra falar nada do Brasil.",0
"Velha canalha",0
"Hipócrita 🤬🤬🤬",0
"Cara de pau!",0
"O que essa bandida corrupta ta falando do presidente, velha idiota.",0
"Carra de pau 😠",0
"É que o dindin pra ela acabou 😂😂😂",0
"Corrupta, formiga e ladrão tem em todo lugar, até na ONU.",0
"Essa ridícula aí, tinha que pedir desculpa ao nosso presidente",0
"Hipócrita",0
"Celebrar a morte de milhões de judeus? Estúpido, nojento",0
"NAZISTA SAFADO FILHO DA PUTA! VAI DOUTRINAR CRIANÇA NA PUTA QUE TE PARIU",0
"Seu doente! A invasão da Polônia marca o início da segunda guerra mundial onde milhões de pessoas foram mortas e torturadas.",0
"Puta que pariu",0
"Só um doente para achar que isso é motivo para comemorar....não cansa de passar vergonha acho que as aulas pelo you tube não estão funcionando.",0
"Gente burra não sabe o que é ato solene isso não é comemoração é um ato que lembra o fato é homenageia os refugiados da Polônia no Brasil pesquisa antes de fala merda",0
"Lamento sua pequenez...",0
"Tortura hahaha",0
"NAZISTINHA ESCROTO DO CARALHO",0
"SOS UNA BASURA BOLSONARO, DAS TANTO ASCO!!",0
"😷vas a terminar con nuestro planeta!!!",0
"Seu pai é um safado",0
"Enfermo culiao hijo de la maraca sopla moco te va hace brujería xuxetumsre",0
"Deje el ego que usted no es más que el Amazonas reciba la plata que usted no es nada el Amazonas es algo",0
"Amazonia is burning. It's a national treasure and it provides oxygen for the entire world. Bolsonaro is incredibly childish and his reactions are so inappropriate. If he cares about Brazil, he would care about Amazonia and people who depends on it.",0
"Que faz este cara ainda morando fora da prisão？",0
"Eduardo é moleque !",0
"Testa di cazzo muori",0
"Tu e la tua politica di merda",0
"Vai a farti tu e ste foto del cazzo e a cui nessuno frega un cazzo",0
"Your words are like gasoline , and You put out 🔥 with gasoline.😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 🔥 rainforest.",0
"Grande bosta se seu pai fica demorando pra vetar o abuso de autoridade e pra mandar o exercito no congresso, grande bosta essas coisas",0
"*Carlos Vereza (ator)*",0
"Selvaaaaaaa 🇧🇷👏",0
"Selva 🇧🇷",0
"É isso família Bolsonaro. Aposto que foi farinha do msm saco do macron que ateou fogo na Amazônia pra atacar o governo. Vamos nos preparar pois bendita será a nação que teme ao Senhor. Macron que va se f****",0
"aí sim em capita, quem quiser comer meu cusinho só chame 🔥🔥",0
"dessa vez ninguém quebrou a mesa, né? vaza daqui playboy filho da puta",0
"@miqueiasmonteiro e a do seu presiBozo de ir p o manicômio! Fdp",0
"@ronaldosnascimento1_ Mas tu é baixo nível, né cara? Dá dó!",0
"@guilhermeribeiro7735 Vai se instruir um pouco! Caia fora, aqui ñ é lugar para pessoas como vc",0
"@ricardobedendo Vc ainda ñ caiu fora? Va seguir seu jegue!",0
"@jose1ete nem pra isso ele tem competencia! Ô medão!",0
"Fala bandidão",0
"O cara não trabalha meu ....",0
"João traidor do movimento!",0
"Realmente handrade kkk lembro do slogan da campanha  Lula é Haddad Haddad é Lula hahhahaha os dois condenados.",0
"Coitado desse Jão gordo, fracassado.",0
"Condenado 35 vezesc",0
"Vou ver não seu verme.",0
"É RIDICULO UNS BABÕES DO ATUAL PRESIDENTE VIR POR HASTAG DO BURRO QUE HOJE GOVERNA O PAÌS.",0
"Aproveite ,logo estará atrás das grades.",0
"Uai não está cumprindo a pena ainda ?",0
"Faz um programa com o Lula. Sugestão para o nome: Sol Quadrado.",0
"Difícil saber quem é mais escroto",0
"Ai sabe roubar ...prefeitão de SP....kkkk...",0
"caixa 2",0
"Aproveita o regime fechado tá na porta.",0
"Esse aí é o tal do Presidente de vcs. Esse aí é o que foi condenado por caixa 2s. 👎👎👎",0
"E a Amazônia professor?  Não dá pra limpar a agenda pra focar nessa emergência? Faz alguma coisa útil. Nem tudo é voto. Onde vocês estão  quando o país precisa de vocês ? @cirogomes dando palestra e entrevista enquanto a Amazônia queima. Pq vcs não vão no encontro do g20 representar o Brasil já que o bozo não serve pra isso? Bate na porta. Fala vim ajudar. Depois usa isso na campanha. Façam alguma coisa útil porra!",0
"Comenta sobre a condenação e a péssima gestao a frente da prefeitura. A derrota para o novato Joao Doria e depois para o ignorante xucro JB",0
"Condenado kkkkkkkkk 2 de cana",0
"@fernandohaddadoficial  a esquerda precisa se unir pra mudar o rumo dessa situação no país. .nosso país está sendo destruído por esse demente que se diz presidente. ...dor e desolação com essa destruição da Amazônia. ...por favor precisamos tomar alguma atitude. ...esse monstro precisa ser derrubado",0
"(!!atenção!!numeração duplicada) Lamento o silêncio dos candidatos a presidência 2018, vejo que o Ciro é o mais ativo nas críticas contra o atual Desgoverno. Vocês têm voz!",0
"Kkkkkkk condenado por caixa 2 pqp nao da uma dentro",0
"Condenado a 4,5 anos por caixa dois.......kkkkkkkkkk...",0
"Aoooo caaixa 2 kkkkkkk",0
"Sua hora de ir morar com o LULA tá chegando",0
"Ansiso pra ver atrás das grades!",0
"Ele só fala besteira, idiotice ou porcaria 😡😡",0
"Isso é um doente",0
"Gente, num aguento mais as palhaçadas desse cara. E ainda tem gente que acha que ele é apenas engraçado. Ridículo. Vergonhoso",0
"Esse imbecil não cansa se falar asneiras🤮🤮🤮🤮",0
"Esse bolha falador de merdas já passou dos limites so5de ter nascido. 💩",0
"Pior do que ele falando esse monte de asneira, é um bando de asno no meio da chuva, na estrada e com um frio da porra pra ouvir essas idiotices e bater palma! 😒😒😒",0
"Esse miliciano é um fdp",0
"Depois dessa vitória dá esquerda na Argentina o cocô do RACISTA até parou de sair todo dia, trancou o 👌🏽😂",0
"Puta que pariu! Imbecilidade! Dele e do povo que o elegeu!",0
"Aja paciência para ouvir tanta babaquice meu ouvido não  é pinico uff",0
"Não consegue falar nada que presta esse cara. Nada! Senhor!",0
"Interdição nessa praga Já",0
"Profeta dos estúpidos. Se preocupa não. A turma do Tramp vai manipular as eleições lá também",0
"Será q o Bozo e seus filhos tb vão fraudar as eleições da Argentina??",0
"Idiota",0
"É um merda ambulante 💩💩💩",0
"PPELO AMOR DE DEUS ALGUÉM CANCELA ESSE CARA! GENTEEEEE COMO PODE ALGUÉM TER VOTADO NESSE ESTRUME DE VACA PODRE",0
"😂😂 esse Borsa é um bosta mesmo",0
"Só resta aceitar Sr Caga pela boca.",0
"É um bosta.",0
"Esse lixo só vomita bosta ! Incapaz",0
"Certo, só que Cristina é tudo, menos de eaquerda, sem falar que é super corrupta. Não sei quem é pior, Macri, ela ou Bostonaro.",0
"Esse peste do fala merda 😈",0
"Q merda é essa? Ah, Bozo abriu  a boca de novo.",0
"Esse moço é triste, um sujeito anormal 😱🤣",0
"Hahahaha. Sofrendo porque não pode fazer nada a respeito. Que se foda.",0
"Tu manuela é um resumo de tudo que não presta nesse mundo! Você presta um desserviço à sociedade brasileira. Pegue suas coisinhas é saia de mansinho. #avantebrasil",0
"Quanta besteira dita por este imbecil.",0
"Nem aguento mais! Nojento!",0
"Ele desrespeita o país de Norte a Sul. Ponham este homem pra fora. Ele não é, nunca foi e nem será digno do posto que ocupa.",0
"Terrorismo,  além  do preconceito  contra  RORAIMA 🤮🤮🤮🤮",0
"Sabe, fico até sem palavras pra tanta loucura em uma só pessoa!!!!",0
"Isso é um LIXO.!!!! COMPROVADAMENTE!!",0
"Que besteira!!! Só podia vir de uma boca insana...",0
"Ele é muito burro",0
"Ele podia não abrir a boca dia nenhum...Idiota d mais esse presidente.",0
"Esse presidente e um louko",0
"Esse cara é um louco ! Fora Bozó!",0
"Imbecil",0
"Este Senhor, é terrível. 😢",0
"Mimizenta do caralho... A relação que fez com Roraima é para que não haja pessoas fugindo pro RS dos regimes de esquerda como acontece em Roraima. Sabemos que tu torce pra que dê merda. Um dia ainda te vejo presa!",0
"Essa coisa só diz asneiras.",0
"É um imbecil mesmo. Bem se vê que não tem a menor habilidade para estar no lugar que está..Truculento, burro, só suscita asco.",0
"Babaca!!!",0
"Não me canso de chamá-lo de IMBECIL!!",0
"Bozobostatoxica",0
"Haja alfafafa 🐴🐴🐴🐴🐴",0
"Tão burro que doi😒 #elenao",0
"Perguntem quantos votos esse energúmeno teve em Roraima, então poderemos ter compreensão do porque ele sente liberdade para as atrocidades que diz e faz sem pudor.",0
"O Boçal como sempre abrindo sua latrina para espalhar merda.",0
"Imbeciloide esse homi.",0
"Oh diabo doido!",0
"Ele podia perder a voz, né? Afff..",0
"Muito imbecil",0
"O MAIOR ERRO  E DIZER QUE ELE DIZPORQUE NA VERDADE ELE NAO DIZ NADA, APENAS  CAGA PELA BOCA..",0
"Sociopata! 🤢",0
"O Boca de Lixo Tóxico",0
"😂😂😂😂 Ele doente deveria está no hospício",0
"ele poderia arrumar o que fazer esse bosta",0
"Ridículo",0
"Mi mi mi mi mi mi mi mi. Vc é uma vergonha, não representa o povo do RS.",0
"Esse meliante só fala bosta.",0
"Hahahahaha olha isso, ele com certeza usa drogas não é normal",0
"Nem sei pq me impressiono com a quantidade de ódio que esse ser espalha.",0
"Esse babaca está brincando com os Argentinos,os caras não arregaram para os Ingleses,ta querendo arrumar treta com os países vizinhos,e vai achar",0
"Xenofóbico este daí Taoquei ????😂😂😂",0
"Esse cara trocou o lugar da boca  pelo fiofó...",0
"Eu acho bom ele dizer bastante cocô,pq assim quem o apoiou pode acordar e perceber que ele mitou e está  nós matando de vergonha.",0
"Esse imbecil! Cavalo sem freio!",0
"Meus olhos doem demais quando leio oq esse bobão fala, socorrrro",0
"Esse demônio só fala merda!",0
"Que louco este maluco",0
"Qual a droga que ele anda consumindo em? Pqp! 🤦",0
"O cara conseguiu fazer ninguém mais se chocar com as merdas que sai da boca dele. Ninguém aguenta mais. O país comandado por um lixo humano e apoiado por 29% de malucos.",0
"Nojo desse homem 🤮🤮🤮",0
"O que esperar de um NAZISTA?",0
"É louco!!!",0
"Gente, na moral, Foda-se as asneiras que esse débil fala.  Vamos parar de dar Ibope",0
"esse cavalo batizado no Jordão fala cada merda. 😡",0
"É um babacaaaaaa",0
"Engraçado @manueladavila quando sua cara apareceu no fantástico você sumiu e bloqueou os comentários nas suas redes sociais. Você é manipuladora!",0
"CALE-SE BOZO🙈",0
"Agora o panaca vai falar mal dos brasileiros do norte. É um imbecil.",0
"Só fala merda! Fora da realidade",0
"Real foi a 16 e dólar a 65 hj dale macri burro para caralho!😅😅",0
"Acho pouco, o sul elegeu esse imbecil, agora toma!",0
"A Argentina do Macri com 50% de inflação e o Bozo asno vem falar isso sem nem saber nada. O povo aqui da Argentina tá rindo da cara do Bozo e pedindo pra ele ficar calado.",0
"Um imbecil inepto ! 🤦🏻‍♂️",0
"Pqp apoiar a Cristina eh o fim, parece q vcs n tem cerebro. Soh cm a maior probabilidade da eleicao dela, a bolsa caiu 28% e o BC aumentou os juros pra 74% a.a. Alem de todos os esquemas de corrupcao nos quais essa mulher eh suspeita, colocando a argentina em uma crise absurda. Parece q vcs n pensam n eh possivel",0
"Esse homem é ridículo e sem noção, aja paciência p ouvir tanta asneiras 🙄",0
"Esse cara só evacua pela boca?",0
"Ridículo e mentiroso. Nojento, abjeto. 🤮🤮🤮🤮🤮 #impeachmentdobolsonaro",0
"Esse cara é muito imbecil mesmo.",0
"Vamos passar 4 anos ouvindo bosta😢😢😢😢",0
"Como sempre, onde vai estimula ódio. Os ares estiveram poluídos por aqui com a presença desta criatura maléfica.",0
"O pior foi um abraço pros  Machos e um beijo nas Mulheres, um Escroto....🤮🤮🤮🤮🤮",0
"Vai cagar bolsadefezes",0
"É um babaca....",0
"Esse bostonaro desconhece a soberania e autonomia dos povos? Será que ele acha que os países civilizados apoiavam sua candidatura?",0
"É mais uma ameaça desse louco!?",0
"Respeita nosso presidente, eleito pela maioria dos votos! Olha o preço da nossa gasolina! Pequena comparação, recalcadas",0
"Meus olhos sagram com tanta besteiras que sai da boca desse ser",0
"Assim cm o Brasil se tornara uma Venezuela? Por que o metodo de governo ja se parece bastante. Ambos ditadores que oprimem adversarios e os dois presidentes acham que as cabecinhas deles so tem ideias geniais. Mas em ambas so tem merda.",0
"O que ele quis dizer foi que, se a esquerda vencer na Argentina, os argentinos vão fugir para o RS, assim como os venezuelanos estão imigrando no Brasil por Roraima. Logicamente isso é uma imbecilidade, como tudo que ele diz!",0
"Esse merda vai inaugurar obras que ele jamais faria pela incompetência, está inaugurando obras que ele nem participou e ao invés de saudar, só fala merda. Horrivel esse escroto",0
"A esquerda é teimosa, esquece esse lixo. Deixa ele falar, se ninguém ligar pra isso e ser um jeito de achar o Queiroz, logo logo ele cala  a boca. Mas vcs ficam dando audiência pra essas idiotices.",0
"Manu...como faz pra tirar este monstro do governo? Dwpois de tantas falas escrotas..ele ainda pode ficar assim...fazendo e falando o que quer? Atacando tudo e todos? Não tem ninguém pra tirar este 💩 daí?",0
"Pensei que ele mesmo ia seguir sua dica: cagar dia sim - dia não. Mas pelo visto todo dia ele está aí cagando por isso que chama de boca.",0
"É um animal",0
"Esse cara so abre a boca pra falar merda. Cala-te !",0
"Esse cara não consegue passar um dia a fazer merda!!!",0
"Bozo n faz o dele de presidente q se meter no país dos outros.",0
"Daqui a pouco o povo brasileiro que vai migrar pra outros lugares, migração em massa. Com esse governo ridículo autoritário e idiota.",0
"Indigesto 🤮",0
"👏🏼👏🏼👏🏼👏🏼 Adorei! “Ele nem deveria abrir a boca” só da 💩💩",0
"Achei q esse tipo de comentário era só dia sim, dia não.  Todo dia de diarreia verbal, tá difícil",0
"Temos o presidente mais tosco de toda a história!",0
"Esse traste pensa que o Brasil é o quintal da casa dele. Aff!",0
"Que cara idiota",0
"@mcarolinabau amiga vc viu essa merda?",0
"Quem dera que a gauchada retrógrada abrisse os olhos... Mas por aqui peão acha que é fazendeiro... 😢",0
"A mãe dele não ensinou que não poderia comer as próprias fezes. Deu nisso... Até a boca se moldou no formato de um ânus...",0
"Eu tenho ranço desse estocador de cocô, mas entendi o que ele quis dizer em relação à Roraima. A população desse estado teve muitos problemas com os imigrantes venezuelanos. Agora ele errou ao dizer, que um governo de esquerda na Argentina faria isso, está mais fácil a gente emigrar para lá se isso acontecer.",0
"Vou filosofar: O cocô sai pelo ânus, mas pelo jeito, em algumas pessoas do congresso, se acumula no cérebro 💩 🧠",0
"NAO TEM CADEIA NEN PRA VAGABUNDOS VAI TER PRA QUEM FAS FAKE NEWS ESSES CARAS ESTA DOIDOS.",0
"Estão loucos....Revisão do Código Penal URGENTE",0
"513 cabeça pensando só dá merda ! Pra mim o Brasil só precisava de 175 deputados e 54 senadores !",0
"Por que será? Bandido defende bandido",0
"Ô cambada!",0
"Não consigo intender a força que estes demônios tem. Tá na hora de botar estes lixos pra fora",0
"Tao esperando o q p fechar esse puteiro?!?",0
"Congresso que não vale o que o gato enterra.",0
"Quem manda nesse Pais? Votamos pra presidente mas quem decide é a corja do mal !Que merda é essa ? Só pilantras se dão bem?",0
"Vergonha nacional deste congresso podre turma de CANALHAS",0
